coin,side,time,px,sz,hash,trade_dir_override,side_info
SOL,A,2025-04-11T02:59:59.991721263,114.31,7.82,0xf8e83365704344c7962004214ff6cf018300a0a1c77b9555cbf8f7e6bcae5e23,Na,"[{'user': '0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00', 'start_pos': '-30955.03', 'oid': 85737377300, 'twap_id': None, 'cloid': '0x5120914df79224dd121cf89ceb42cca8'}, {'user': '0x4533162d81f67ac1b985907cf3024f0e6772b9a1', 'start_pos': '69.7', 'oid': 85737382858, 'twap_id': None, 'cloid': None}]"
FARTCOIN,B,2025-04-11T03:00:00.013096245,0.85781,13.9,0x0000000000000000000000000000000000000000000000000000000000000000,Na,"[{'user': '0x656c8da58d738295e03550796dd83900aa7c6525', 'start_pos': '864921.0', 'oid': 85737382862, 'twap_id': 609386, 'cloid': None}, {'user': '0x744cf47e88d9d0847544f0ac2fa7575cf5925f79', 'start_pos': '335.0', 'oid': 85737381340, 'twap_id': None, 'cloid': '0xfffffffffffffffffffffffffae315f8'}]"
FARTCOIN,B,2025-04-11T03:00:00.013096245,0.85806,18.3,0x0000000000000000000000000000000000000000000000000000000000000000,Na,"[{'user': '0x656c8da58d738295e03550796dd83900aa7c6525', 'start_pos': '864934.9', 'oid': 85737382862, 'twap_id': 609386, 'cloid': None}, {'user': '0x0b891f9dbd3b164fab14a36f85542a6f43340441', 'start_pos': '6998.9', 'oid': 85737382259, 'twap_id': None, 'cloid': '0x0017030770d200271ac762c4c3b60000'}]"
BTC,B,2025-04-11T03:00:00.013096245,80302.0,0.00068,0x0000000000000000000000000000000000000000000000000000000000000000,Na,"[{'user': '0x993c9b2d9573171f01486032f50e87229e677159', 'start_pos': '0.07085', 'oid': 85737382863, 'twap_id': 609655, 'cloid': None}, {'user': '0xaca2d79168f9e9072c089e5f7d6eb0daefc13915', 'start_pos': '0.49506', 'oid': 85737380626, 'twap_id': None, 'cloid': '0x00000000000bad610000227016b01c7a'}]"
WIF,B,2025-04-11T03:00:00.092735088,0.37438,144.0,0xd465e9b568fe0d4f546a04214ff6d101f400ba56e7b22a7e30c6b2d4819f2f38,Na,"[{'user': '0x9cdfd6cd017b5d4b4b1fd9fc91776834d44fb262', 'start_pos': '3272.0', 'oid': 85737382996, 'twap_id': None, 'cloid': None}, {'user': '0x31ca8395cf837de08b24da3f660e77761dfb974b', 'start_pos': '-8310.0', 'oid': 85737373801, 'twap_id': None, 'cloid': None}]"
POPCAT,B,2025-04-11T03:00:00.092735088,0.19616,127.0,0x2cdab05617de0350a25104214ff6d101f6009b812b840ff16109a2b5b2a86377,Na,"[{'user': '0x2025137a136bea7446deba681cbfc7cf1970840e', 'start_pos': '-70958.0', 'oid': 85737382998, 'twap_id': None, 'cloid': '0xadd9d812305227446002900000000000'}, {'user': '0xb8af60ce7a7ed47be31913e73856b50bcdbbd358', 'start_pos': '-7247.0', 'oid': 85737382933, 'twap_id': None, 'cloid': '0x00000000000000001834d1a5f3849d58'}]"
POPCAT,B,2025-04-11T03:00:00.092735088,0.1962,10263.0,0x2cdab05617de0350a25104214ff6d101f6009b812b840ff16109a2b5b2a86377,Na,"[{'user': '0x2025137a136bea7446deba681cbfc7cf1970840e', 'start_pos': '-70831.0', 'oid': 85737382998, 'twap_id': None, 'cloid': '0xadd9d812305227446002900000000000'}, {'user': '0xc31ae9521bea6fc46992dc1179ee0aabd025e39d', 'start_pos': '-179693.0', 'oid': 85737382812, 'twap_id': None, 'cloid': '0x90d0a765dfb013d1f5dd493d93180821'}]"
POPCAT,B,2025-04-11T03:00:00.092735088,0.19624,920.0,0x2cdab05617de0350a25104214ff6d101f6009b812b840ff16109a2b5b2a86377,Na,"[{'user': '0x2025137a136bea7446deba681cbfc7cf1970840e', 'start_pos': '-60568.0', 'oid': 85737382998, 'twap_id': None, 'cloid': '0xadd9d812305227446002900000000000'}, {'user': '0x31ca8395cf837de08b24da3f660e77761dfb974b', 'start_pos': '-263676.0', 'oid': 85737382882, 'twap_id': None, 'cloid': None}]"
ETH,B,2025-04-11T03:00:00.092735088,1533.6,1.8682,0x5f58ead2e053c1a62b3804214ff6d101fa008d7600449be82c661ac3116def3b,Na,"[{'user': '0x493364de7f4a39ed24f9c68ece229973f324d369', 'start_pos': '130.8183', 'oid': 85737383002, 'twap_id': None, 'cloid': None}, {'user': '0x744cf47e88d9d0847544f0ac2fa7575cf5925f79', 'start_pos': '20.7436', 'oid': 85737378912, 'twap_id': None, 'cloid': '0xffffffffffffffffffffffdc4b081c00'}]"
ETH,B,2025-04-11T03:00:00.092735088,1533.6,0.1141,0x5f58ead2e053c1a62b3804214ff6d101fa008d7600449be82c661ac3116def3b,Na,"[{'user': '0x493364de7f4a39ed24f9c68ece229973f324d369', 'start_pos': '132.6865', 'oid': 85737383002, 'twap_id': None, 'cloid': None}, {'user': '0xa2c90cce08c964cdf7de95c162b7984f49e87517', 'start_pos': '0.1959', 'oid': 85737382738, 'twap_id': None, 'cloid': '0x006700a2191a004203792fc65fd40000'}]"
